id,time,sentiment,score
464946996873402_1018429914858438,2015-08-19T03:58:11+0000,Positive,76.3424
464946996873402_1018429794858450,2015-08-19T03:57:24+0000,Positive,76.3424
464946996873402_1018427958191967,2015-08-19T03:56:20+0000,Positive,76.3424
464946996873402_1018418558192907,2015-08-19T03:21:44+0000,Neutral,57.1180
464946996873402_841144905999119,2015-08-19T03:19:45+0000,Positive,91.2915
464946996873402_1018384991529597,2015-08-19T01:24:16+0000,Positive,67.6904
464946996873402_1018291254872304,2015-08-18T20:41:40+0000,Neutral,50.0000
464946996873402_1018289038205859,2015-08-18T20:34:26+0000,Neutral,53.7963
464946996873402_1018219804879449,2015-08-18T17:01:29+0000,Neutral,50.0000
464946996873402_10153774886533132,2015-08-18T16:37:00+0000,Neutral,50.0000
464946996873402_612293695577028,2015-08-18T16:19:20+0000,Negative,98.0560
464946996873402_944977708877130,2015-08-18T16:08:21+0000,Neutral,55.0995
464946996873402_1018187091549387,2015-08-18T15:22:31+0000,Positive,87.2872
464946996873402_1018155214885908,2015-08-18T13:56:34+0000,Positive,87.2872
464946996873402_1018147448220018,2015-08-18T13:34:53+0000,Positive,87.2872
464946996873402_1018134538221309,2015-08-18T12:51:50+0000,Positive,87.2872
464946996873402_10204685470276956,2015-08-18T11:55:18+0000,Positive,87.2872
464946996873402_1018090771559019,2015-08-18T10:46:38+0000,Negative,99.9675
464946996873402_1018074074894022,2015-08-18T09:51:07+0000,Negative,97.4134
464946996873402_1018068884894541,2015-08-18T09:36:59+0000,Negative,71.5904
464946996873402_1017986678236095,2015-08-18T08:13:23+0000,Positive,73.0999
464946996873402_1017985718236191,2015-08-18T08:08:08+0000,Positive,97.9429
464946996873402_1017964774904952,2015-08-18T07:49:54+0000,Positive,97.9429
464946996873402_1017957201572376,2015-08-18T07:48:39+0000,Positive,97.9429
464946996873402_1017848251583271,2015-08-18T06:35:42+0000,Negative,72.5387
968396013188188_1093328570694931,2015-08-18T06:25:22+0000,Positive,96.4052
464946996873402_1017837128251050,2015-08-18T05:45:52+0000,Negative,99.9116
464946996873402_1017836524917777,2015-08-18T05:42:21+0000,Negative,99.9116
464946996873402_1017824994918930,2015-08-18T04:51:31+0000,Positive,99.3095
464946996873402_870080479746947,2015-08-18T04:39:10+0000,Negative,76.0435
464946996873402_1017821798252583,2015-08-18T04:33:13+0000,Neutral,50.0000
464946996873402_1017819574919472,2015-08-18T04:21:02+0000,Neutral,50.0000
464946996873402_1017819498252813,2015-08-18T04:20:48+0000,Neutral,50.0000
464946996873402_10155996269025327,2015-08-18T04:13:54+0000,Negative,99.9994
464946996873402_1017796634921766,2015-08-18T03:09:40+0000,Negative,99.0685
464946996873402_1017795748255188,2015-08-18T03:03:57+0000,Positive,67.9897
464946996873402_965899876787181,2015-08-17T20:10:06+0000,Positive,67.9897
464946996873402_1017694581598638,2015-08-17T20:05:22+0000,Positive,74.4837
464946996873402_385828734940959,2015-08-17T19:32:10+0000,Positive,74.4837
464946996873402_385828341607665,2015-08-17T19:28:57+0000,Positive,62.5342
464946996873402_1017618024939627,2015-08-17T16:38:20+0000,Negative,99.1068
464946996873402_1017614528273310,2015-08-17T16:28:12+0000,Positive,99.3837
464946996873402_1017596174941812,2015-08-17T15:40:49+0000,Negative,99.9962
464946996873402_1017594788275284,2015-08-17T15:36:57+0000,Negative,99.9962
464946996873402_1017590698275693,2015-08-17T15:23:42+0000,Positive,66.9722
464946996873402_1017582854943144,2015-08-17T15:01:00+0000,Positive,66.9722
464946996873402_1017565988278164,2015-08-17T14:23:54+0000,Negative,65.8994
464946996873402_1017536478281115,2015-08-17T13:05:36+0000,Negative,65.8994
464946996873402_1017536438281119,2015-08-17T13:05:26+0000,Negative,65.8994
464946996873402_1017536288281134,2015-08-17T13:05:17+0000,Negative,65.8994
464946996873402_1017532208281542,2015-08-17T12:51:24+0000,Neutral,61.3808
464946996873402_1017525001615596,2015-08-17T12:28:56+0000,Negative,65.2859
464946996873402_1017507314950698,2015-08-17T11:44:15+0000,Negative,65.2859
464946996873402_1017507224950707,2015-08-17T11:44:05+0000,Negative,65.2859
464946996873402_1017507188284044,2015-08-17T11:43:53+0000,Negative,65.2859
464946996873402_1017475508287212,2015-08-17T10:15:57+0000,Negative,96.6085
464946996873402_1017470188287744,2015-08-17T09:58:48+0000,Negative,96.6085
464946996873402_10153511412501308,2015-08-17T08:23:31+0000,Neutral,59.0530
464946996873402_1017442791623817,2015-08-17T08:04:19+0000,Negative,100.0000
464946996873402_900804899993673,2015-08-17T07:20:39+0000,Negative,100.0000
464946996873402_1017428851625211,2015-08-17T07:04:26+0000,Positive,77.2914
464946996873402_1017421471625949,2015-08-17T06:20:31+0000,Positive,86.4227
464946996873402_1017421058292657,2015-08-17T06:18:39+0000,Negative,70.9367
464946996873402_1017420264959403,2015-08-17T06:15:27+0000,Neutral,60.6834
464946996873402_1017419274959502,2015-08-17T06:09:59+0000,Positive,92.3420
464946996873402_1017416054959824,2015-08-17T05:50:18+0000,Positive,92.3420
464946996873402_1017414028293360,2015-08-17T05:40:30+0000,Positive,63.5049
464946996873402_992063880815020,2015-08-17T05:38:21+0000,Negative,92.2208
464946996873402_1017406198294143,2015-08-17T05:22:59+0000,Positive,88.1422
464946996873402_1017398141628282,2015-08-17T04:59:03+0000,Positive,88.1422
464946996873402_1017398061628290,2015-08-17T04:58:54+0000,Positive,88.1422
464946996873402_1017397471628349,2015-08-17T04:57:09+0000,Positive,64.5418
464946996873402_1017395584961871,2015-08-17T04:48:30+0000,Positive,64.5418
464946996873402_1017395521628544,2015-08-17T04:48:13+0000,Positive,64.5418
464946996873402_1017395474961882,2015-08-17T04:48:04+0000,Positive,64.5418
464946996873402_1017395448295218,2015-08-17T04:47:54+0000,Positive,64.5418
464946996873402_1017395294961900,2015-08-17T04:46:53+0000,Positive,64.5418
464946996873402_1017269968307766,2015-08-17T04:16:54+0000,Negative,99.8662
464946996873402_1017239811644115,2015-08-17T03:53:43+0000,Negative,99.8662
464946996873402_1017239774977452,2015-08-17T03:53:35+0000,Negative,99.8662
464946996873402_1017239734977456,2015-08-17T03:53:25+0000,Negative,99.8662
464946996873402_1017239668310796,2015-08-17T03:53:10+0000,Negative,99.8662
464946996873402_460200770819894,2015-08-17T03:50:46+0000,Positive,67.8716
464946996873402_1017231974978232,2015-08-17T03:15:52+0000,Positive,67.8716
464946996873402_1017231941644902,2015-08-17T03:15:43+0000,Positive,67.8716
464946996873402_1017231608311602,2015-08-17T03:14:00+0000,Positive,67.8716
464946996873402_1017231568311606,2015-08-17T03:13:46+0000,Positive,67.8716
464946996873402_1017231454978284,2015-08-17T03:13:33+0000,Positive,67.8716
464946996873402_1017231331644963,2015-08-17T03:13:25+0000,Positive,67.8716
464946996873402_1017231218311641,2015-08-17T03:13:13+0000,Positive,67.8716
464946996873402_1721058808122452,2015-08-17T02:46:47+0000,Positive,67.8716
464946996873402_1721058738122459,2015-08-17T02:46:35+0000,Positive,67.8716
464946996873402_1477969152521052,2015-08-16T23:14:55+0000,Negative,80.4698
464946996873402_1017167934984636,2015-08-16T23:08:57+0000,Positive,95.8876
464946996873402_1017141364987293,2015-08-16T21:24:29+0000,Neutral,50.0000
464946996873402_1171348029547666,2015-08-16T19:22:44+0000,Negative,91.4819
464946996873402_1018690214832520,2015-08-16T18:19:37+0000,Positive,78.3596
464946996873402_1017072471660849,2015-08-16T18:07:58+0000,Positive,93.2980
464946996873402_1047515535261001,2015-08-16T17:52:13+0000,Positive,99.9988
464946996873402_1017028104998619,2015-08-16T16:10:21+0000,Negative,100.0000
464946996873402_1017025778332185,2015-08-16T16:04:17+0000,Positive,99.2023
464946996873402_1615578958697134,2015-08-16T15:51:02+0000,Negative,78.8127
464946996873402_1017019878332775,2015-08-16T15:44:56+0000,Positive,68.4517
464946996873402_974224449307632,2015-08-16T15:41:14+0000,Positive,79.6612
464946996873402_1017004811667615,2015-08-16T15:04:23+0000,Neutral,52.0130
464946996873402_1016998535001576,2015-08-16T14:45:04+0000,Positive,91.6401
464946996873402_1016951301672966,2015-08-16T12:41:21+0000,Negative,88.9829
464946996873402_1016846815016748,2015-08-16T07:14:29+0000,Negative,88.9829
464946996873402_1016819518352811,2015-08-16T05:28:31+0000,Negative,88.9829
464946996873402_761811033930200,2015-08-16T05:07:27+0000,Positive,95.8620
464946996873402_1016797798354983,2015-08-16T03:48:56+0000,Positive,88.1107
464946996873402_1016796901688406,2015-08-16T03:45:13+0000,Positive,88.1107
464946996873402_1016657591702337,2015-08-15T19:12:05+0000,Positive,98.3728
464946996873402_1016542371713859,2015-08-15T16:53:14+0000,Positive,99.9144
464946996873402_10204873442540715,2015-08-15T13:28:14+0000,Positive,96.5073
464946996873402_10155810610295391,2015-08-15T12:58:12+0000,Positive,95.5621
464946996873402_1016412341726862,2015-08-15T11:11:40+0000,Positive,64.2384
464946996873402_1016390108395752,2015-08-15T09:44:31+0000,Negative,76.4675
464946996873402_1016376528397110,2015-08-15T08:46:35+0000,Positive,68.8953
464946996873402_1016370115064418,2015-08-15T08:21:39+0000,Neutral,50.0000
464946996873402_1016327185068711,2015-08-15T05:42:56+0000,Neutral,50.0000
464946996873402_1016325085068921,2015-08-15T05:35:31+0000,Neutral,50.0000
464946996873402_1016317708402992,2015-08-15T05:09:33+0000,Neutral,50.0000
464946996873402_1016312185070211,2015-08-15T04:48:40+0000,Negative,93.7902
464946996873402_1016294155072014,2015-08-15T03:41:38+0000,Neutral,50.0000
464946996873402_1619346221686932,2015-08-15T03:28:05+0000,Neutral,50.0000
464946996873402_697419200389281,2015-08-15T03:24:26+0000,Positive,91.8279
464946996873402_1016281735073256,2015-08-15T03:04:22+0000,Neutral,50.0000
464946996873402_1016278138406949,2015-08-15T02:52:16+0000,Neutral,50.0000
464946996873402_1016278071740289,2015-08-15T02:52:08+0000,Neutral,50.0000
464946996873402_959121487462292,2015-08-15T02:32:56+0000,Neutral,50.0000
464946996873402_1016267065074723,2015-08-15T02:14:21+0000,Positive,98.9191
464946996873402_1016266655074764,2015-08-15T02:12:21+0000,Positive,98.9191
464946996873402_1016265031741593,2015-08-15T02:04:35+0000,Positive,98.9191
464946996873402_1016246325076797,2015-08-15T00:56:03+0000,Positive,98.9191
464946996873402_1016246291743467,2015-08-15T00:55:49+0000,Positive,98.9191
464946996873402_1016246248410138,2015-08-15T00:55:40+0000,Positive,98.9191
464946996873402_1016246085076821,2015-08-15T00:54:36+0000,Positive,89.3933
464946996873402_1016241835077246,2015-08-15T00:41:23+0000,Positive,89.3933
464946996873402_1016241565077273,2015-08-15T00:41:14+0000,Positive,89.3933
464946996873402_1016241361743960,2015-08-15T00:41:05+0000,Positive,89.3933
464946996873402_557375537743482,2015-08-14T18:55:42+0000,Positive,89.3933
464946996873402_1016126575088772,2015-08-14T18:41:16+0000,Positive,87.0412
464946996873402_1016106485090781,2015-08-14T17:52:22+0000,Positive,99.0937
464946996873402_1016086445092785,2015-08-14T17:24:22+0000,Positive,76.5960
464946996873402_1016083008426462,2015-08-14T17:13:33+0000,Negative,70.4788
464946996873402_1016082308426532,2015-08-14T17:10:16+0000,Negative,70.4788
464946996873402_1016079918426771,2015-08-14T17:03:02+0000,Positive,96.0306
464946996873402_1016077851760311,2015-08-14T16:58:58+0000,Positive,76.9159
464946996873402_1016072991760797,2015-08-14T16:50:39+0000,Negative,83.8813
464946996873402_1016067758427987,2015-08-14T16:41:54+0000,Positive,94.5366
464946996873402_10207364881710966,2015-08-14T16:36:40+0000,Negative,99.4919
464946996873402_1016043205097109,2015-08-14T16:16:56+0000,Neutral,55.1287
464946996873402_1016039041764192,2015-08-14T16:14:37+0000,Neutral,55.1287
464946996873402_1016028728431890,2015-08-14T15:40:02+0000,Neutral,55.1287
464946996873402_1016028628431900,2015-08-14T15:39:49+0000,Neutral,55.1287
464946996873402_1016028595098570,2015-08-14T15:39:39+0000,Neutral,55.1287
464946996873402_1017651641603044,2015-08-14T15:38:55+0000,Positive,95.5879
464946996873402_1016027045098725,2015-08-14T15:36:12+0000,Positive,95.5879
464946996873402_1015998045101625,2015-08-14T14:07:18+0000,Positive,76.5349
464946996873402_442866335914178,2015-08-14T13:59:16+0000,Positive,98.6799
464946996873402_1015990168435746,2015-08-14T13:45:52+0000,Positive,98.6799
464946996873402_1015990108435752,2015-08-14T13:45:43+0000,Positive,98.6799
